id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10484,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19501025.0,19501025.0,False,,1,,,,2023-10-01T15:40:00.000Z,27145.894789487935,6396924606.627661,8.007,0.01685558,0.35363226,2.16802338,4.89175537,-7.44552601,-12.40271798,529372772937.17395,48.809,570063790579.25,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
1027,Ethereum,ETH,ethereum,7468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120238637.31376177,120238637.31376177,True,,2,,,,2023-10-01T15:40:00.000Z,1683.6681902084651,3319869387.977088,6.8147,-0.03125892,-0.08734701,5.88286538,2.82378176,-8.61039808,-14.46100801,202441968879.1933,18.6647,202441968879.19,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
825,Tether USDt,USDT,tether,63009,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83255047972.35954,86425711834.22702,True,,3,,,,2023-10-01T15:40:00.000Z,1.0000828808687006,25064236025.842625,-18.2091,-0.01130031,-0.01329436,-0.007882,0.05833614,0.05462612,-0.01054274,83261948223.0592,7.6769,86432874872.3,,2023-10-01T15:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-01 21:12:37.970230
1839,BNB,BNB,bnb,1652,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153846562.33197156,153846562.33197156,False,,4,,,,2023-10-01T15:40:00.000Z,215.62584796779876,284893944.2363863,11.3226,0.05840927,-0.16035685,2.41769428,0.80171796,-11.33684703,-13.49997294,33173295459.762173,3.0586,33173295459.76,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
52,XRP,XRP,xrp,1103,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53312364216.0,99988397127.0,False,,5,,,,2023-10-01T15:40:00.000Z,0.5194441156434569,477769439.3339135,-44.5923,-0.11839037,0.45712354,2.02619887,3.1531731,-24.38562791,7.24008914,27692793883.042,2.5532,51944411564.35,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
3408,USDC,USDC,usd-coin,14274,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25120204580.520584,25120204580.520584,False,,6,,,,2023-10-01T15:40:00.000Z,0.9999031521940396,1456184655.1579175,-2.3463,-0.02485079,-0.02747707,-0.02085701,-0.00691597,-0.00129143,-0.01766363,25117771743.821682,2.3159,25117771743.82,,2023-10-01T15:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-01 21:12:37.970230
5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,412986209.98038495,558809106.088924,True,,7,,,,2023-10-01T15:40:00.000Z,23.11846887745756,505943746.2570136,93.545,-0.2997247,7.69837463,18.75318444,18.44270533,-0.70521649,20.0482589,9547608842.25068,0.8802,12918810927.56,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
2010,Cardano,ADA,cardano,941,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35134930689.785,36213906237.638,False,,8,,,,2023-10-01T15:40:00.000Z,0.2599379536021073,145338499.3835671,8.6827,-0.54072512,3.15966939,6.03444691,1.2733513,-14.32203283,-11.8210072,9132901983.45459,0.8421,11697207912.09,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
74,Dogecoin,DOGE,dogecoin,802,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141233556383.7052,141233556383.7052,True,,9,,,,2023-10-01T15:40:00.000Z,0.06251650517309831,151123407.02650717,57.313,-0.24550841,0.73372298,1.6775197,-1.75104274,-16.96788873,-8.1064127,8829428358.276978,0.8141,8829428358.28,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
1958,TRON,TRX,tron,844,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89062489383.37857,89062533547.31523,True,,10,71659659264.0,6365446349.250279,,2023-10-01T15:40:00.000Z,0.08882886710079738,128920866.30227216,-14.6649,-0.10614819,0.15580767,5.69589993,16.45910877,15.9683047,14.49650895,7911320033.102312,0.7294,7911323956.13,,2023-10-01T15:40:00.000Z,,,,,,2023-10-01 21:12:37.970230
